Reference,,Value,,Footprint,Number Needed,Price @ 1,Price @ 100,Totals@ 1,Totals @ 100,Mouser Link
"C1,C4",,1uF,,Capacitors_SMD:C_1206_HandSoldering,2,0.15,0.035,0.3,0.07,http://www.mouser.com/ProductDetail/Kemet/C1206C105M3RACTU/?qs=sGAEpiMZZMs0AnBnWHyRQF9UlR6G5k34PtAkPbBgWQA%3d
"C2,C3,C5",,.1uF,,Capacitors_SMD:C_0805,3,0.1,0.019,0.3,0.057,http://www.mouser.com/ProductDetail/Kemet/C0805C104K5RACTU/?qs=sGAEpiMZZMs0AnBnWHyRQFCCI5cSbRT%2fPJnH450Mpoc%3d
D1,,DIODE,,Diodes_SMD:SOD-123,1,0.16,0.06,0.16,0.06,http://www.mouser.com/ProductDetail/Vishay-Semiconductors/1N4148W-E3-08/?qs=sGAEpiMZZMtoHjESLttvkjs26zymxl2F%2f%2f5Ai0uPFO0%3d
Q1,,2N3904,,Transistors_SMD:sot23,1,0.15,0.04,0.15,0.04,http://www.mouser.com/Search/ProductDetail.aspx?R=CR0805-FX-4701GLFvirtualkey65210000virtualkey652-CR0805-FX4701GLF
R1,,10K,,My_Library:R_0805,1,0.1,0.018,0.1,0.018,
R2,,100K,,My_Library:R_0805,1,0.1,0.018,0.1,0.018,
"R3,R4,R5",,4.7K,,My_Library:R_0805,3,0.1,0.018,0.3,0.054,http://www.mouser.com/Search/ProductDetail.aspx?R=CR0805-FX-4701GLFvirtualkey65210000virtualkey652-CR0805-FX4701GLF
U1,,MCP4725,,SMD_Packages:SOT-23-6,1,1.06,0.73,1.06,0.73,http://www.mouser.com/Search/ProductDetail.aspx?R=MCP4725A0T-E%2fCHvirtualkey57940000virtualkey579-MCP4725A0TECH
U2,,PIC12F1822,,SMD_Packages:SOIC-8-W,1,1.2,0.83,1.2,0.83,http://www.mouser.com/Search/ProductDetail.aspx?R=PIC12F1822-I%2fSNvirtualkey57940000virtualkey579-PIC12F1822-I%2fSN
U3,,LDK220,,Housings_SOT-23_SOT-143_TSOT-6:SOT-23-5,1,0.6,0.3,0.6,0.3,http://www.mouser.com/Search/ProductDetail.aspx?R=LDK220C50Rvirtualkey51120000virtualkey511-LDK220C50R
Board Cost,,Board Cost,,,1,2.2,1.32,2.2,1.32,
Assembly Time,,,,,,,,,,
,,,,,,,,,,
,,Total Components,,,15,,,6.47,3.497,
,,,,,,,,,,
,,,,,,,,,,
,,Small Batch,,Assembly for 100 boards @ 10 per panel is 7.24,,,,,,
